category,vendor,description,amount
Groceries,Whole Foods,meat,164.59
Healthcare,CVS,prescription medicine medical #7626,400.83
Food & Dining,Local Restaurant,takeout lunch meal #1164,15.05
Food & Dining,Local Restaurant,dinner restaurant,377.46
Others,Miscellaneous,service #1216,602.37
Bills & Utilities,Verizon,service payment utility,879.17
Shopping,H&M,clothes electronics shoes #5030,21.22
Bills & Utilities,Verizon,bill payment #3330,460.34
Shopping,Target,shoes #5332,131.98
Shopping,Nike,accessories shoes electronics #6477,106.05
Shopping,Nike,electronics,257.88
Groceries,Trader Joes,meat bread,78.11
Others,Miscellaneous,service,546.98
Food & Dining,Pizza Hut,restaurant lunch takeout,443.06
Healthcare,CVS,health #5001,435.08
Transportation,Lyft,ride fuel,13.68
Others,Various Services,payment other service,880.54
Food & Dining,Chipotle,dinner restaurant delivery,136.57
Bills & Utilities,Verizon,service payment bill,91.35
Groceries,Walmart,food meat dairy #4802,163.47
Others,Unknown Vendor,other payment general #8365,976.97
Food & Dining,Pizza Hut,lunch,755.81
Others,Various Services,general misc,760.06
Others,Miscellaneous,service #3944,81.1
Transportation,Shell,transit taxi,26.7
Entertainment,Xbox,movie #9148,29.19
Groceries,Walmart,meat dairy produce #4332,63.53
Bills & Utilities,AT&T,payment,113.99
Transportation,BP,transit,46.19
Shopping,Target,accessories shoes,61.11
Groceries,Trader Joes,groceries,135.2
Shopping,Nike,electronics,299.38
Healthcare,CVS,prescription doctor medicine #5742,100.72
Others,Various Services,general payment #6052,396.84
Others,Various Services,general,772.98
Transportation,Metro,ride transportation,32.74
Healthcare,Quest Diagnostics,prescription #1668,387.56
Others,Various Services,other payment misc,911.51
Shopping,H&M,purchase accessories clothes,292.07
Food & Dining,Subway,lunch dinner,310.19
Shopping,Amazon,shoes accessories electronics,232.58
Healthcare,Walgreens,prescription doctor,483.33
Entertainment,Steam,game music,26.41
Food & Dining,Local Restaurant,lunch meal #1250,645.26
Entertainment,Steam,streaming,42.33
Groceries,Safeway,produce bread groceries,117.37
Healthcare,Quest Diagnostics,medical health #4228,356.7
Bills & Utilities,Water Service,bill payment monthly,806.84
Entertainment,Steam,entertainment,23.74
Shopping,Amazon,purchase,156.63
Healthcare,Local Clinic,health medical doctor,369.99
Food & Dining,Subway,restaurant,184.81
Healthcare,Quest Diagnostics,medical prescription health,92.04
Transportation,Shell,transportation ride #1681,5.74
Transportation,Uber,transit #2939,43.09
Entertainment,Steam,game music streaming,30.67
Others,Miscellaneous,service payment general #5483,756.52
Shopping,Best Buy,electronics #5527,182.57
Shopping,Nike,clothes purchase,29.06
Bills & Utilities,Water Service,monthly service,816.73
Groceries,Trader Joes,bread,168.74
Transportation,Metro,transportation transit,45.46
Bills & Utilities,Verizon,monthly #9451,442.16
Entertainment,Netflix,movie,23.52
Groceries,Kroger,groceries bread #9208,94.18
Shopping,Target,electronics shoes purchase #1375,75.9
Transportation,BP,fuel #4621,52.07
Healthcare,Local Clinic,medical health medicine,347.24
Shopping,Target,accessories shoes electronics,20.97
Food & Dining,Pizza Hut,dinner meal takeout #1706,216.47
Transportation,Shell,ride taxi transportation,30.06
Shopping,Best Buy,shoes,161.38
Food & Dining,Local Restaurant,lunch #5690,747.97
Bills & Utilities,Verizon,service monthly utility,43.37
Transportation,Lyft,ride #1519,69.48
Others,Miscellaneous,general service payment #5523,240.08
Shopping,H&M,electronics clothes,242.27
Groceries,Whole Foods,dairy produce meat,87.15
Healthcare,Local Clinic,doctor prescription medical,408.58
Bills & Utilities,AT&T,bill,10.66
Groceries,Kroger,food,168.5
Bills & Utilities,Water Service,bill,324.89
Others,Miscellaneous,misc general,498.19
Healthcare,Quest Diagnostics,doctor #9316,359.92
Groceries,Whole Foods,bread #9266,185.34
Others,Various Services,service misc,804.23
Bills & Utilities,Water Service,bill payment #6161,931.4
Others,Miscellaneous,service misc,757.51
Healthcare,CVS,medicine,255.61
Groceries,Walmart,groceries #3348,156.38
Bills & Utilities,Water Service,service monthly payment,343.38
Groceries,Walmart,food meat groceries,67.09
Healthcare,Local Clinic,prescription medicine medical,297.79
Healthcare,CVS,doctor #8755,408.24
Others,Various Services,service general #3512,135.72
Food & Dining,Chipotle,takeout,991.8
Healthcare,Quest Diagnostics,doctor medicine health,205.72
Others,Unknown Vendor,payment misc,557.63
Entertainment,AMC Theaters,movie entertainment,45.81
Shopping,Best Buy,accessories clothes,43.9
Entertainment,Xbox,music movie streaming,37.01
Bills & Utilities,Water Service,utility payment,190.87
Groceries,Kroger,dairy meat groceries,54.23
Others,Miscellaneous,other misc general #8549,978.0
Bills & Utilities,Water Service,monthly,714.23
Bills & Utilities,Verizon,payment,709.61
Bills & Utilities,Water Service,monthly bill utility,658.35
Others,Unknown Vendor,misc other service,327.06
Shopping,Target,accessories,125.58
Healthcare,CVS,medical prescription,364.07
Groceries,Trader Joes,produce dairy,107.67
Others,Various Services,service misc,590.06
Others,Unknown Vendor,general payment service #8381,156.21
Others,Unknown Vendor,payment,183.24
Entertainment,Xbox,movie music,25.53
Bills & Utilities,AT&T,payment #1822,354.26
Food & Dining,Chipotle,takeout dinner delivery,46.25
Shopping,Best Buy,shoes clothes purchase,203.83
Healthcare,Walgreens,prescription doctor health,297.92
Transportation,Uber,fuel gas,6.87
Others,Miscellaneous,service #2941,659.66
Others,Unknown Vendor,payment service misc,594.84
Entertainment,Steam,movie streaming music #7571,30.68
Shopping,Target,accessories,89.6
Others,Unknown Vendor,service payment,630.63
Transportation,BP,ride taxi #5930,11.47
Food & Dining,Pizza Hut,lunch delivery restaurant,888.63
Food & Dining,McDonalds,meal lunch,640.11
Food & Dining,Pizza Hut,meal restaurant lunch,908.26
Others,Various Services,general other service #1440,986.26
Groceries,Safeway,produce,88.89
Others,Miscellaneous,misc service #2636,307.45
Entertainment,AMC Theaters,movie,18.29
Entertainment,Xbox,streaming,34.21
Food & Dining,Pizza Hut,takeout,46.37
Healthcare,Local Clinic,medical medicine prescription,362.66
Transportation,BP,taxi,17.59
Shopping,H&M,accessories electronics,44.97
Healthcare,Local Clinic,medicine prescription medical,412.39
Food & Dining,Local Restaurant,meal #9904,558.37
Entertainment,Xbox,movie,33.17
Others,Miscellaneous,other,52.24
Others,Unknown Vendor,payment general misc #5338,75.12
Shopping,Target,electronics accessories clothes,123.74
Food & Dining,Local Restaurant,delivery,817.18
Bills & Utilities,Electric Company,payment #6289,671.62
Healthcare,Quest Diagnostics,medical doctor,100.1
Groceries,Safeway,dairy meat bread,113.63
Shopping,H&M,accessories electronics,43.1
Bills & Utilities,Electric Company,monthly service,963.34
Others,Unknown Vendor,service general,824.14
Bills & Utilities,AT&T,service payment utility,291.52
Food & Dining,Subway,meal lunch takeout,98.94
Food & Dining,McDonalds,lunch takeout restaurant,976.73
Shopping,Amazon,purchase,294.76
Entertainment,AMC Theaters,movie game streaming #3707,43.99
Groceries,Walmart,dairy bread #4488,181.28
Bills & Utilities,Electric Company,payment service monthly,415.92
Bills & Utilities,Water Service,utility,929.3
Transportation,BP,taxi transit fuel #3105,20.07
Groceries,Trader Joes,meat dairy food #8311,91.19
Groceries,Trader Joes,bread produce food #5101,86.3
Groceries,Kroger,produce dairy food,162.01
Food & Dining,Subway,meal delivery takeout #5778,228.81
Bills & Utilities,Verizon,bill service utility,947.36
Shopping,Best Buy,electronics,47.5
Healthcare,Local Clinic,doctor health,165.87
Shopping,Best Buy,accessories clothes shoes,149.55
Groceries,Trader Joes,food bread dairy,190.52
Healthcare,Quest Diagnostics,medicine doctor medical,160.64
Shopping,H&M,purchase accessories clothes,170.18
Entertainment,Xbox,streaming #1397,16.43
Entertainment,Spotify,movie music,39.94
Groceries,Kroger,food dairy,70.3
Food & Dining,Subway,restaurant,922.44
Transportation,Shell,transportation transit fuel,68.12
Food & Dining,Chipotle,restaurant #9699,193.62
Bills & Utilities,Verizon,payment bill utility,631.03
Entertainment,AMC Theaters,entertainment #7247,36.02
Food & Dining,Pizza Hut,dinner restaurant lunch,678.83
Transportation,Metro,taxi fuel,63.0
Entertainment,Spotify,music #6955,40.35
Entertainment,Steam,streaming music #7278,37.73
Bills & Utilities,AT&T,utility,392.57
Others,Miscellaneous,misc service #6495,535.41
Others,Various Services,other general service,370.32
Bills & Utilities,Verizon,monthly payment,813.85
Food & Dining,Local Restaurant,meal,990.43
Entertainment,AMC Theaters,entertainment music game,15.52
Food & Dining,Subway,meal lunch,680.85
Others,Unknown Vendor,misc general,276.36
Bills & Utilities,Verizon,bill service #6596,451.39
Food & Dining,Local Restaurant,lunch delivery restaurant,809.16
Healthcare,CVS,medicine prescription,334.3
Shopping,Amazon,shoes,160.84
Others,Unknown Vendor,payment other service,996.51
Bills & Utilities,AT&T,service payment,543.03
Groceries,Safeway,groceries,157.98
Bills & Utilities,Verizon,monthly service bill,607.79
Groceries,Trader Joes,groceries food dairy,112.75
Shopping,Nike,purchase electronics #2167,125.67
Groceries,Trader Joes,food,56.55
Shopping,Target,shoes accessories,234.03
Transportation,Metro,ride,19.82
Healthcare,CVS,health prescription medical,311.88
Others,Unknown Vendor,service,286.86
Transportation,Metro,transportation taxi,40.81
Transportation,Lyft,gas taxi #9236,5.15
Bills & Utilities,Verizon,utility,153.28
Others,Various Services,other service #6252,526.49
Healthcare,Walgreens,medicine medical,283.16
Food & Dining,Pizza Hut,dinner #6412,722.51
Entertainment,Xbox,game streaming,49.87
Food & Dining,Local Restaurant,delivery,503.56
Entertainment,Steam,streaming,17.9
Shopping,Best Buy,purchase shoes clothes #6301,64.18
Entertainment,Steam,streaming entertainment game,28.03
Others,Unknown Vendor,general,83.32
Transportation,Shell,taxi ride transit,70.39
Entertainment,Spotify,entertainment #2918,24.69
Healthcare,Quest Diagnostics,prescription medicine doctor,299.85
Food & Dining,McDonalds,lunch takeout,327.03
Transportation,Uber,ride transportation,38.69
Entertainment,AMC Theaters,streaming music,22.12
Others,Various Services,general service misc,118.75
Groceries,Walmart,dairy produce meat,154.78
Shopping,H&M,accessories electronics,233.86
Others,Various Services,misc,508.54
Bills & Utilities,Water Service,bill service,197.55
Groceries,Kroger,food,160.87
Shopping,Nike,purchase,276.56
Entertainment,Netflix,game #4394,17.16
Entertainment,Spotify,streaming,40.35
Food & Dining,Chipotle,dinner meal takeout #6385,377.82
Food & Dining,Pizza Hut,delivery takeout restaurant,613.01
Entertainment,Steam,entertainment,33.74
Groceries,Kroger,groceries,91.94
Food & Dining,Chipotle,delivery,153.64
Bills & Utilities,Electric Company,monthly utility #8725,362.47
Groceries,Safeway,food,123.84
Transportation,BP,transportation,53.86
Bills & Utilities,Verizon,payment bill #9332,215.5
Transportation,BP,gas transportation transit #4406,76.2
Bills & Utilities,Water Service,bill monthly payment,964.95
Shopping,Target,purchase,187.44
Groceries,Walmart,produce dairy bread,134.95
Bills & Utilities,Water Service,utility #1914,329.46
Entertainment,AMC Theaters,music #3559,14.31
Shopping,Best Buy,accessories electronics shoes,34.79
Food & Dining,Chipotle,restaurant meal dinner,335.93
Food & Dining,Chipotle,takeout,721.3
Others,Miscellaneous,other misc #3242,806.61
Bills & Utilities,AT&T,monthly,434.81
Shopping,Amazon,accessories electronics,136.24
Shopping,Best Buy,electronics accessories purchase,253.25
Bills & Utilities,Water Service,service,603.82
Bills & Utilities,AT&T,monthly payment #1526,693.72
Groceries,Kroger,bread food,181.43
Entertainment,Steam,streaming movie #2291,49.69
Transportation,Lyft,ride,66.33
Entertainment,Netflix,music movie,36.59
Others,Unknown Vendor,misc payment,534.91
Food & Dining,Pizza Hut,takeout delivery lunch,497.52
Groceries,Kroger,produce food,137.32
Others,Unknown Vendor,general,260.61
Entertainment,Xbox,movie entertainment streaming,31.34
Transportation,Metro,gas transit,51.13
Bills & Utilities,Verizon,bill service,656.94
Groceries,Kroger,food meat #6997,66.84
Groceries,Trader Joes,food produce,199.58
Entertainment,AMC Theaters,entertainment movie streaming #8746,45.1
Transportation,Metro,ride #3746,64.99
Bills & Utilities,Verizon,monthly payment bill #3493,600.8
Others,Miscellaneous,general misc payment,13.16
Groceries,Walmart,produce #1388,82.72
Entertainment,AMC Theaters,game,19.67
Shopping,Amazon,purchase,202.68
Bills & Utilities,AT&T,monthly utility payment #3249,364.68
Others,Miscellaneous,general,567.0
Shopping,Target,electronics shoes accessories,63.15
Bills & Utilities,Water Service,service payment,309.0
Others,Various Services,other,821.75
Food & Dining,McDonalds,meal lunch takeout,25.05
Healthcare,Walgreens,prescription medicine doctor,168.1
Shopping,H&M,accessories,152.88
Food & Dining,McDonalds,takeout lunch restaurant,119.8
Shopping,Nike,shoes electronics purchase,151.07
Healthcare,Quest Diagnostics,medical prescription,197.03
Groceries,Whole Foods,food produce meat #1200,130.56
Groceries,Trader Joes,food #9167,29.58
Healthcare,Quest Diagnostics,prescription,90.59
Others,Various Services,misc payment #5892,351.64
Bills & Utilities,Verizon,monthly,873.4
Food & Dining,Local Restaurant,delivery restaurant,538.18
Transportation,BP,gas transportation fuel,38.84
Groceries,Trader Joes,produce groceries,37.8
Entertainment,AMC Theaters,entertainment #7559,33.37
Shopping,H&M,electronics purchase,254.96
Food & Dining,Pizza Hut,meal,383.65
Groceries,Whole Foods,bread #8726,99.1
Entertainment,Netflix,music entertainment,22.18
Entertainment,AMC Theaters,game movie,36.17
Healthcare,Quest Diagnostics,prescription,166.65
Transportation,Lyft,taxi ride #3497,50.51
Transportation,Metro,transportation,61.25
Transportation,Metro,transportation transit,56.98
Groceries,Kroger,food,97.95
Bills & Utilities,Electric Company,monthly utility #5217,52.84
Healthcare,CVS,medical health,117.09
Shopping,Best Buy,clothes,227.0
Food & Dining,McDonalds,delivery dinner restaurant #2561,746.08
Groceries,Whole Foods,produce meat,23.79
Shopping,H&M,purchase clothes accessories,128.17
Healthcare,Local Clinic,prescription,391.66
Groceries,Trader Joes,dairy groceries produce,32.86
Groceries,Walmart,bread,57.7
Healthcare,CVS,medical doctor health #5314,237.28
Transportation,BP,gas transit #6772,33.5
Others,Various Services,general #5430,89.07
Transportation,Shell,gas fuel,46.7
Entertainment,Steam,movie entertainment music #3943,26.77
Food & Dining,Local Restaurant,meal #3317,741.69
Shopping,Best Buy,shoes,237.76
Shopping,H&M,purchase,224.7
Others,Various Services,payment service #7564,525.44
Entertainment,Xbox,music,40.34
Shopping,Nike,accessories #9499,189.64
Healthcare,Walgreens,health medicine,404.87
Food & Dining,McDonalds,meal takeout,590.96
Groceries,Walmart,meat groceries produce,114.04
Shopping,Amazon,purchase clothes shoes,50.16
Bills & Utilities,Verizon,utility #1296,575.55
Food & Dining,McDonalds,restaurant takeout meal,641.25
Healthcare,Walgreens,doctor health medicine,465.38
Food & Dining,McDonalds,restaurant takeout dinner #1181,21.16
Bills & Utilities,Water Service,monthly utility #8781,156.46
Shopping,Amazon,purchase electronics shoes #9129,74.74
Transportation,Shell,ride #2538,11.63
Others,Unknown Vendor,service payment #7102,597.26
Food & Dining,Pizza Hut,delivery takeout lunch,168.27
Groceries,Safeway,bread,37.0
Entertainment,AMC Theaters,game,25.06
Groceries,Safeway,meat #5304,99.12
Entertainment,Spotify,entertainment #7328,29.76
Food & Dining,Local Restaurant,meal,479.03
Entertainment,AMC Theaters,entertainment movie,10.03
Food & Dining,Subway,delivery takeout lunch,903.11
Shopping,Nike,shoes purchase,174.96
Transportation,Uber,ride gas #8585,59.82
Transportation,Shell,fuel,71.06
Healthcare,Local Clinic,medicine,147.55
Bills & Utilities,Verizon,service,763.87
Entertainment,Xbox,game,20.0
Bills & Utilities,Electric Company,utility bill monthly,490.85
Groceries,Trader Joes,food produce groceries #8503,109.39
Bills & Utilities,AT&T,monthly bill payment,688.68
Groceries,Walmart,dairy food,183.07
Groceries,Walmart,food meat,126.15
Healthcare,Local Clinic,doctor,427.41
Shopping,Nike,clothes,27.7
Groceries,Walmart,meat,66.19
Healthcare,Quest Diagnostics,medical health doctor #6581,328.27
Bills & Utilities,Verizon,monthly bill payment,784.2
Shopping,Target,shoes,24.27
Others,Various Services,service payment,567.43
Shopping,Amazon,clothes,224.51
Bills & Utilities,AT&T,utility #2127,529.34
Entertainment,AMC Theaters,entertainment game #3023,46.82
Bills & Utilities,Water Service,bill utility,836.21
Food & Dining,Local Restaurant,lunch meal delivery #6225,662.83
Groceries,Safeway,meat produce groceries,36.68
Healthcare,CVS,prescription health medicine,430.89
Transportation,Uber,transit #4314,26.23
Healthcare,CVS,health medical,347.83
Groceries,Safeway,food groceries bread,117.29
Food & Dining,Local Restaurant,delivery lunch,402.68
Groceries,Walmart,dairy,184.01
Transportation,Lyft,fuel taxi transit,55.65
Bills & Utilities,Verizon,bill monthly,320.44
Bills & Utilities,Electric Company,bill monthly utility #9598,345.92
Food & Dining,Subway,lunch takeout,766.9
Healthcare,CVS,medicine prescription health #8722,434.56
Transportation,Uber,gas fuel,70.18
Transportation,Lyft,transportation ride gas,5.52
Food & Dining,Local Restaurant,lunch delivery restaurant,157.83
Groceries,Kroger,dairy bread produce,163.94
Food & Dining,Chipotle,dinner lunch,468.73
Transportation,Shell,fuel transportation #5998,70.44
Others,Unknown Vendor,misc,516.59
Food & Dining,Pizza Hut,lunch,121.03
Bills & Utilities,Verizon,bill payment utility #3878,775.0
Groceries,Kroger,dairy produce #4453,122.56
Transportation,BP,gas,30.95
Shopping,Best Buy,clothes #8264,69.42
Bills & Utilities,Electric Company,monthly service utility,135.48
Others,Various Services,payment,800.23
Others,Unknown Vendor,misc general,849.61
Others,Unknown Vendor,misc,292.65
Shopping,Nike,clothes,255.36
Shopping,Amazon,shoes #5798,175.83
Shopping,Best Buy,clothes,265.72
Transportation,Uber,fuel,49.33
Shopping,Nike,clothes shoes,175.54
Entertainment,AMC Theaters,music game #4378,31.27
Bills & Utilities,AT&T,bill,738.11
Bills & Utilities,AT&T,bill,240.9
Groceries,Trader Joes,produce groceries meat,27.27
Healthcare,Local Clinic,prescription medical medicine,98.13
Shopping,Amazon,accessories,265.04
Transportation,BP,fuel transit,43.7
Groceries,Kroger,produce groceries #5340,169.23
Shopping,Nike,electronics #8820,260.07
Transportation,BP,fuel gas ride,8.39
Transportation,Lyft,transit,17.04
Shopping,H&M,clothes,232.52
Healthcare,Quest Diagnostics,health medicine,483.03
Others,Various Services,misc general,239.47
Others,Miscellaneous,misc service,777.52
Healthcare,Quest Diagnostics,doctor,363.02
Food & Dining,Subway,meal,81.24
Food & Dining,Pizza Hut,lunch takeout #7115,489.89
Others,Miscellaneous,service,672.96
Bills & Utilities,Verizon,payment #3147,997.44
Shopping,H&M,accessories clothes purchase,280.96
Groceries,Walmart,produce food,104.91
Entertainment,Netflix,streaming entertainment movie,43.24
Shopping,Amazon,purchase electronics shoes,265.43
Shopping,H&M,accessories electronics shoes,41.43
Bills & Utilities,AT&T,payment monthly service,686.54
Shopping,Amazon,accessories electronics #8423,223.71
Transportation,Shell,gas transportation fuel #3940,5.86
Others,Unknown Vendor,service,64.23
Groceries,Whole Foods,dairy meat bread,181.46
Others,Various Services,general service misc,416.44
Food & Dining,Pizza Hut,delivery restaurant,408.99
Others,Various Services,general other payment,113.42
Shopping,Nike,purchase shoes,116.65
Shopping,Best Buy,shoes clothes,258.32
Others,Miscellaneous,misc general payment,300.84
Entertainment,Xbox,movie music #1747,27.96
Transportation,Metro,transportation ride gas #9447,11.04
Bills & Utilities,Verizon,utility payment monthly,988.48
Entertainment,AMC Theaters,game entertainment,24.47
Healthcare,Local Clinic,prescription #3883,33.31
Shopping,Nike,shoes,133.68
Bills & Utilities,AT&T,utility #7892,497.78
Shopping,H&M,accessories purchase shoes,246.21
Transportation,Metro,taxi fuel ride #9552,68.27
Bills & Utilities,AT&T,monthly payment service,582.66
Groceries,Safeway,meat produce dairy,153.58
Healthcare,Quest Diagnostics,medical,407.35
Others,Miscellaneous,other payment,121.67
Shopping,Target,clothes,167.08
Transportation,Uber,transit transportation,78.48
Bills & Utilities,Electric Company,bill,320.58
Food & Dining,Local Restaurant,dinner takeout #8240,819.53
Transportation,Uber,fuel transit gas,51.53
Shopping,Amazon,accessories,41.32
Entertainment,Netflix,streaming game,36.64
Healthcare,Quest Diagnostics,medical health prescription #3647,344.96
Bills & Utilities,Electric Company,payment,382.83
Groceries,Kroger,bread produce groceries,60.59
Food & Dining,Chipotle,restaurant lunch takeout,520.95
Transportation,BP,fuel ride transportation,22.07
Groceries,Kroger,groceries produce bread,32.53
Groceries,Walmart,food dairy,57.58
Groceries,Whole Foods,produce meat #4455,58.32
Bills & Utilities,Water Service,monthly utility,476.78
Bills & Utilities,Water Service,monthly payment,250.56
Healthcare,Local Clinic,prescription medicine doctor,156.76
Healthcare,Quest Diagnostics,prescription health,358.98
Entertainment,Xbox,entertainment,48.92
Groceries,Kroger,produce dairy groceries #2734,164.85
Entertainment,Steam,streaming game music,14.16
Transportation,Uber,gas fuel #9972,76.47
Shopping,Amazon,electronics #1226,148.01
Groceries,Trader Joes,food bread groceries #7002,122.57
Groceries,Walmart,bread food produce #6168,176.26
Shopping,Amazon,clothes purchase,74.17
Others,Various Services,service,122.99
Others,Various Services,service misc,202.97
Food & Dining,Chipotle,takeout,56.55
Groceries,Walmart,bread dairy meat,140.63
Transportation,Shell,transportation #6276,48.55
Groceries,Whole Foods,bread dairy produce #2407,190.0
Transportation,Uber,transit taxi,73.71
Entertainment,Steam,music movie,49.69
Entertainment,AMC Theaters,music #3749,39.76
Bills & Utilities,Water Service,bill utility,76.69
Shopping,Nike,shoes clothes purchase #9774,42.24
Shopping,Target,shoes purchase accessories,106.43
Shopping,H&M,shoes,92.85
Transportation,Metro,transportation fuel,76.63
Groceries,Whole Foods,meat,175.54
Groceries,Whole Foods,meat produce bread #2268,74.93
Bills & Utilities,Water Service,bill,88.24
Entertainment,AMC Theaters,game,36.61
Shopping,Target,purchase shoes clothes,140.01
Entertainment,Netflix,movie streaming,48.51
Groceries,Safeway,produce dairy bread,89.07
Shopping,Nike,electronics,218.46
Shopping,H&M,purchase shoes,268.36
Groceries,Kroger,meat,88.04
Food & Dining,Pizza Hut,restaurant,511.39
Healthcare,Quest Diagnostics,medical doctor medicine #9532,465.85
Healthcare,Quest Diagnostics,medical health medicine,468.31
Groceries,Safeway,produce groceries meat,24.91
Bills & Utilities,AT&T,utility payment bill,49.89
Shopping,Target,electronics shoes clothes,104.21
Entertainment,Netflix,movie streaming #3496,22.1
Shopping,Nike,accessories electronics,172.7
Bills & Utilities,Water Service,monthly bill,176.53
Healthcare,CVS,doctor medicine prescription,411.85
Food & Dining,Subway,dinner,160.31
Shopping,Amazon,purchase shoes clothes,253.18
Healthcare,Quest Diagnostics,prescription doctor #8986,139.69
Bills & Utilities,Electric Company,utility #1574,276.51
Groceries,Safeway,produce #8495,119.1
Transportation,Uber,ride gas #1714,26.43
Food & Dining,Subway,dinner meal restaurant,962.93
Others,Various Services,misc other general #1175,941.65
Food & Dining,McDonalds,restaurant,526.62
Healthcare,Local Clinic,health medical doctor,437.06
Shopping,Best Buy,clothes purchase,44.78
Transportation,BP,ride,14.73
Entertainment,AMC Theaters,streaming,46.04
Groceries,Safeway,food groceries dairy #7443,75.73
Others,Unknown Vendor,general,819.58
Entertainment,Spotify,music #1751,36.86
Others,Miscellaneous,payment general,281.06
Transportation,Uber,taxi,19.64
Bills & Utilities,AT&T,payment service monthly,943.41
Healthcare,CVS,health medicine prescription #8003,419.95
Shopping,Amazon,clothes,142.96
Food & Dining,Local Restaurant,takeout restaurant delivery #1015,279.86
Others,Miscellaneous,other general misc,951.33
Others,Unknown Vendor,other,167.76
Transportation,Shell,ride transportation taxi #2065,49.28
Shopping,Best Buy,electronics,146.93
Groceries,Walmart,groceries,183.28
Healthcare,Local Clinic,prescription,499.07
Bills & Utilities,Electric Company,monthly,433.4
Bills & Utilities,Water Service,payment bill,184.36
Groceries,Whole Foods,meat groceries food,184.93
Food & Dining,McDonalds,takeout dinner,565.56
Shopping,Target,electronics clothes,24.14
Groceries,Whole Foods,food #1263,149.59
Others,Unknown Vendor,misc payment service,786.96
Shopping,Amazon,purchase electronics,251.74
Bills & Utilities,Water Service,payment,452.4
Food & Dining,Chipotle,takeout meal delivery,365.58
Entertainment,AMC Theaters,entertainment movie,10.19
Others,Unknown Vendor,payment,141.23
Transportation,Uber,gas taxi transit,54.15
Groceries,Walmart,groceries dairy bread #2129,32.78
Healthcare,Quest Diagnostics,prescription doctor medicine,252.87
Healthcare,Walgreens,medical medicine prescription #3964,266.67
Groceries,Kroger,dairy meat produce #2018,195.84
Others,Various Services,service #5836,234.68
Healthcare,CVS,prescription,447.41
Others,Unknown Vendor,payment #4926,798.44
Entertainment,AMC Theaters,game entertainment,38.72
Transportation,Lyft,fuel,71.41
Shopping,Amazon,purchase,114.06
Others,Various Services,general,604.35
Shopping,H&M,clothes shoes electronics,218.7
Bills & Utilities,AT&T,utility,762.66
Transportation,Uber,ride taxi,51.81
Healthcare,CVS,health,37.87
Groceries,Trader Joes,groceries meat dairy,174.15
Transportation,Uber,fuel taxi gas,45.95
Food & Dining,Pizza Hut,dinner meal,636.11
Bills & Utilities,AT&T,service monthly #4928,180.47
Others,Unknown Vendor,payment general service,676.52
Bills & Utilities,Electric Company,utility,536.0
Transportation,Shell,transit,28.34
Healthcare,Walgreens,health,326.38
Bills & Utilities,AT&T,utility #8080,110.76
Healthcare,Quest Diagnostics,prescription health #2376,185.16
Food & Dining,McDonalds,takeout delivery meal,202.09
Entertainment,Spotify,entertainment streaming music,11.1
Entertainment,Spotify,movie #6240,34.58
Groceries,Whole Foods,bread meat food,34.45
Food & Dining,Local Restaurant,meal takeout delivery #7606,94.7
Transportation,Metro,fuel transportation taxi #4986,38.06
Healthcare,Local Clinic,medical doctor medicine #2846,187.04
Groceries,Kroger,dairy produce,71.5
Groceries,Kroger,bread,95.41
Others,Unknown Vendor,payment other general,722.76
Entertainment,Steam,game entertainment streaming,34.46
Groceries,Trader Joes,bread meat produce,107.07
Transportation,Metro,taxi gas ride #9638,50.56
Shopping,Amazon,purchase shoes,153.45
Bills & Utilities,AT&T,bill,497.79
Transportation,BP,transportation taxi,10.46
Bills & Utilities,Water Service,bill,125.53
Others,Unknown Vendor,misc payment general,112.46
Entertainment,Xbox,entertainment,38.22
Healthcare,CVS,prescription health doctor,177.25
Transportation,Metro,fuel ride,17.3
Bills & Utilities,AT&T,payment monthly utility #1958,74.16
Others,Various Services,other service,291.99
Shopping,Amazon,shoes,76.76
Entertainment,Netflix,entertainment game movie,39.59
Transportation,Uber,transportation transit ride,8.81
Others,Miscellaneous,misc other,458.09
Food & Dining,Subway,dinner meal takeout,875.8
Transportation,BP,ride,18.67
Groceries,Whole Foods,groceries,93.58
Others,Various Services,service other general #9270,242.32
Food & Dining,Chipotle,lunch delivery,606.99
Bills & Utilities,Water Service,bill utility monthly #3569,328.65
Entertainment,Netflix,music entertainment,47.04
Transportation,Metro,transit taxi ride,38.67
Shopping,Nike,clothes shoes accessories #8704,299.01
Shopping,Amazon,purchase clothes,97.53
Transportation,BP,ride,57.12
Entertainment,Steam,movie entertainment streaming #1623,35.56
Bills & Utilities,Electric Company,bill service,287.33
Transportation,Lyft,gas taxi,32.5
Healthcare,Local Clinic,medicine prescription,150.43
Food & Dining,Pizza Hut,meal #1644,557.5
Entertainment,Netflix,movie,47.53
Transportation,BP,transit,17.71
Others,Miscellaneous,general,223.71
Others,Unknown Vendor,service,685.68
Entertainment,Xbox,movie music,35.19
Groceries,Kroger,dairy food meat,186.97
Others,Unknown Vendor,misc #7752,723.21
Entertainment,Xbox,game #6099,11.91
Food & Dining,Chipotle,meal #1206,384.85
Transportation,Lyft,taxi transit fuel,36.23
Entertainment,Netflix,music #4022,45.94
Bills & Utilities,Electric Company,service monthly payment,634.75
Shopping,Amazon,purchase,269.01
Food & Dining,Subway,delivery restaurant,961.57
